52.46,7,63.51,1608,1,0,0,0,0
314.33,2,129.05,375,6,0,0,0,1
380.15,10,41.19,720,3,1,0,0,0
21.09,6,21.1,2206,4,1,0,0,0
40.36,13,122.68,2641,8,0,1,0,0
168.65,19,134.8,1636,3,0,1,0,0
108.18,13,58.68,2895,5,0,0,0,0
145.94,13,21.28,2270,3,0,0,0,0
63.24,1,12.58,2259,5,0,1,0,0
357.59,15,75.0,2971,2,1,0,0,1
323.05,10,36.02,267,4,1,0,1,1
158.54,2,56.0,697,3,0,0,0,0
458.17,5,51.64,1311,0,0,0,0,0
236.87,18,29.16,1855,3,0,1,0,0
62.85,22,11.89,2971,5,0,0,0,0
214.59,12,42.05,297,2,0,1,0,0
56.89,23,65.33,688,2,2,0,0,0
357.26,4,67.55,895,4,0,1,0,0
141.19,7,34.17,2011,3,0,0,0,0
123.36,22,132.99,2855,2,3,0,1,0
75.12,4,23.24,2815,1,1,0,1,0
503.98,15,113.42,2243,3,0,1,1,0
127.16,5,63.83,2319,4,1,0,0,0
96.71,7,42.34,1247,3,1,0,0,0
104.36,11,81.98,1826,1,1,0,0,0
252.73,8,49.34,513,8,0,0,0,0
213.89,20,16.47,1520,5,1,0,0,0
224.24,23,21.76,878,3,0,0,0,0
228.34,12,46.94,2786,2,0,0,0,0
1263.51,12,38.07,1103,2,2,0,0,0
98.85,1,111.68,1184,1,1,0,0,0
88.92,5,36.68,1208,2,0,0,0,0
65.77,0,34.89,2703,1,0,0,0,0
274.78,20,31.28,2797,0,0,1,1,0
458.96,5,29.11,1293,4,1,1,0,0
132.43,8,29.91,2987,7,2,0,0,0
64.06,20,18.89,2269,4,0,0,1,0
65.07,17,65.78,2539,2,0,0,1,1
284.46,14,52.52,2747,3,0,0,0,0
312.08,0,50.89,998,4,0,0,0,0
255.48,13,13.37,1652,4,1,0,0,0
76.29,13,77.11,855,0,1,0,0,0
187.2,7,82.56,930,4,2,0,1,0
166.78,17,154.86,1393,3,0,0,0,0
184.69,22,79.49,153,2,3,0,0,0
354.76,6,175.56,646,4,1,0,0,0
185.6,7,33.52,2427,2,0,0,0,0
